Species,Latin Name,Year,Queens,Workers,Males,Unknown
Indet. Bee,Bombus sp.,2011,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2011,0,0,1,0
Garden Bumblebee,BOMBUS hortorum,2011,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,5,0,0
Garden Bumblebee,BOMBUS hortorum,2011,0,9,0,0
Garden Bumblebee,BOMBUS hortorum,2011,0,0,1,0
Tree Bumblebee,BOMBUS hypnorum,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,1,0,0,0
Heath Bumblebee,BOMBUS jonellus,2009,0,1,0,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2009,0,0,1,0
Early Bumblebee,BOMBUS pratorum,2009,0,2,0,0
Tree Bumblebee,BOMBUS hypnorum,2009,1,0,0,0
Tree Bumblebee,BOMBUS hypnorum,2009,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,2,0,0
Early Bumblebee,BOMBUS pratorum,2009,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2009,0,1,0,0
Tree Bumblebee,BOMBUS hypnorum,2009,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,2,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,3,0,0,0
Early Bumblebee,BOMBUS pratorum,2009,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,2,0,0,0
Early Bumblebee,BOMBUS pratorum,2010,0,1,0,0
Early Bumblebee,BOMBUS pratorum,2009,0,1,0,0
Early Bumblebee,BOMBUS pratorum,2009,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2009,0,0,2,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,3,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2009,0,0,1,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2009,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,2,0,0,0
Indet. Bee,Bombus sp.,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,3,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Indet. Bee,Bombus sp.,2011,0,0,0,2
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,3,0,0,0
Early Bumblebee,BOMBUS pratorum,2010,7,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
