Species,Latin Name,Year,Queens,Workers,Males,Unknown
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Indet. Bee,Bombus sp.,2010,0,4,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Common Carder,BOMBUS pascuorum,2008,0,2,0,0
Common Carder,BOMBUS pascuorum,2008,0,0,2,0
Common Carder,BOMBUS pascuorum,2008,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2008,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2008,0,1,0,0
Heath Bumblebee,BOMBUS jonellus,2008,1,0,0,0
Common Carder,BOMBUS pascuorum,2009,0,2,0,0
Common Carder,BOMBUS pascuorum,2009,0,0,2,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Gypsy Cuckoo Bumblebee,BOMBUS bohemicus,2010,0,0,0,1
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Garden Bumblebee,BOMBUS hortorum,2010,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,6,0,0
Common Carder,BOMBUS pascuorum,2010,0,4,0,0
